,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
81,5.5,2.4,3.7,1.0,versicolor,15.194035,3.3159878
82,5.8,2.7,3.9,1.2,versicolor,15.149704,2.0238984
83,6.0,2.7,5.1,1.6,versicolor,11.651087,-3.524886
84,5.4,3.0,4.5,1.5,versicolor,13.195226,1.2464025
85,6.0,3.4,4.5,1.6,versicolor,13.183599,-1.6024661
86,6.7,3.1,4.7,1.5,versicolor,14.712289,-3.4022233
87,6.3,2.3,4.4,1.3,versicolor,12.299726,-0.39532858
88,5.6,3.0,4.1,1.3,versicolor,14.278628,1.4965864
89,5.5,2.5,4.0,1.3,versicolor,14.482918,2.6458662
90,5.5,2.6,4.4,1.2,versicolor,13.761778,2.0102475
91,6.1,3.0,4.6,1.4,versicolor,13.838158,-1.2956161
92,5.8,2.6,4.0,1.2,versicolor,15.037161,2.0224533
93,5.0,2.3,3.3,1.0,versicolor,15.273062,4.25524
94,5.6,2.7,4.2,1.3,versicolor,14.180708,1.9196236
95,5.7,3.0,4.2,1.2,versicolor,14.394618,1.1556427
96,5.7,2.9,4.2,1.3,versicolor,14.301289,1.2450709
97,6.2,2.9,4.3,1.3,versicolor,14.619273,-0.7098191
98,5.1,2.5,3.0,1.1,versicolor,15.480896,4.3575773
99,5.7,2.8,4.1,1.3,versicolor,14.558,1.6344128
100,6.3,3.3,6.0,2.5,virginica,10.617751,-8.500484
101,5.8,2.7,5.1,1.9,virginica,10.893484,-3.257201
102,7.1,3.0,5.9,2.1,virginica,12.131432,-9.588154
103,6.3,2.9,5.6,1.8,virginica,11.513711,-6.321447
104,6.5,3.0,5.8,2.2,virginica,11.459782,-7.9988513
105,7.6,3.0,6.6,2.1,virginica,12.620074,-11.038725
106,4.9,2.5,4.5,1.7,virginica,12.808846,2.5363815
107,7.3,2.9,6.3,1.8,virginica,12.098003,-10.627349
108,6.7,2.5,5.8,1.8,virginica,13.169482,-8.362116
109,7.2,3.6,6.1,2.5,virginica,12.907948,-9.815809
110,6.5,3.2,5.1,2.0,virginica,12.697121,-6.406237
111,6.4,2.7,5.3,1.9,virginica,11.980882,-5.652465
112,6.8,3.0,5.5,2.1,virginica,12.23641,-7.989119
113,5.7,2.5,5.0,2.0,virginica,10.530405,-3.0167818
114,5.8,2.8,5.1,2.4,virginica,10.196245,-3.6344352
115,6.4,3.2,5.3,2.3,virginica,11.179042,-7.3673153
116,6.5,3.0,5.5,1.8,virginica,11.88727,-6.621485
117,7.7,3.8,6.7,2.2,virginica,13.338218,-10.820342
118,7.7,2.6,6.9,2.3,virginica,12.516954,-11.435377
119,6.0,2.2,5.0,1.5,virginica,11.178706,-1.7959511
120,6.9,3.2,5.7,2.3,virginica,11.985749,-8.839123
121,5.6,2.8,4.9,2.0,virginica,10.610065,-2.8302188
122,7.7,2.8,6.7,2.0,virginica,12.518291,-11.230996
123,6.3,2.7,4.9,1.8,virginica,12.3640375,-3.7423146
124,6.7,3.3,5.7,2.1,virginica,11.722323,-8.504205
125,7.2,3.2,6.0,1.8,virginica,12.054067,-10.070026
126,6.2,2.8,4.8,1.8,virginica,12.386931,-3.1947072
127,6.1,3.0,4.9,1.8,virginica,12.134612,-2.9297004
128,6.4,2.8,5.6,2.1,virginica,11.6396265,-7.0905313
129,7.2,3.0,5.8,1.6,virginica,11.801039,-10.07897
130,7.4,2.8,6.1,1.9,virginica,12.091173,-10.526613
131,7.9,3.8,6.4,2.0,virginica,13.339344,-10.782765
132,6.4,2.8,5.6,2.2,virginica,11.593553,-7.28093
133,6.3,2.8,5.1,1.5,virginica,12.622054,-3.9956145
134,6.1,2.6,5.6,1.4,virginica,11.198522,-4.9926987
135,7.7,3.0,6.1,2.3,virginica,12.631171,-10.643512
136,6.3,3.4,5.6,2.4,virginica,10.676339,-7.945295
137,6.4,3.1,5.5,1.8,virginica,11.743819,-6.533938
138,6.0,3.0,4.8,1.8,virginica,12.149976,-2.5791416
139,6.9,3.1,5.4,2.1,virginica,12.423028,-8.056952
140,6.7,3.1,5.6,2.4,virginica,11.676539,-8.270924
141,6.9,3.1,5.1,2.3,virginica,12.859652,-7.516645
142,5.8,2.7,5.1,1.9,virginica,10.893886,-3.2558646
143,6.8,3.2,5.9,2.3,virginica,11.672622,-9.013845
144,6.7,3.3,5.7,2.5,virginica,11.250804,-8.648713
145,6.7,3.0,5.2,2.3,virginica,12.51124,-7.4052463
146,6.3,2.5,5.0,1.9,virginica,11.995905,-4.134105
147,6.5,3.0,5.2,2.0,virginica,12.413367,-6.428166
148,6.2,3.4,5.4,2.3,virginica,10.577362,-7.4802976
149,5.9,3.0,5.1,1.8,virginica,11.432316,-3.121107
